,Comment,Toxicity Score
0,Thank you for understanding I think very highly of you and would not revert without discussion,0.016210219
1,    Another priceless gem from yourself demonstrating your general cluelessness The fuse rating and therefore the plug rating in the case of a nonrewireable plug is determined by the cable attached not the appliance it will be used with Where on earth did you dig that nonsense up from There are plenty of good examples around but medium to large switch mode power supplies are often supplied with nominally 3 Amp cable in a moulded on plug many with an IEC 60320 C7 type plug rated by that standard at 25 Amps According to you the plug should therefore be fitted with a 3 Amp fuse determined by the cable If you did so you would never get any but the smallest power supplies running You have to fit a 5 Amp fuse because the very large 40 Amp momentary inrush current lasts long enough that it will blow a 3 Amp fuse The cable and plug can retain their original ratings because the inrush current will not harm them The rating of the fuse is determined by much much more than the cable size alone Indeed the type of power supply that is built into a plug usually has no fuse at all   1717,0.3972142
2,Thanks for your response  Ill nominate them today,0.01859777
3,You can keep reverting me to push your WPUndue viewpoints til I take it to WPBLPN if you want I wont discuss it any longer   🗽,0.15932569
4,Will be editing the Andraka page   Please considering registering so your contributions can be noted and so you can better enter into this discussion as it develops  Le Prof,0.01859777
5,Ive asked  to discuss removals of information first I will need to remind him   ,0.03734144
6, OMG Hallelujah Ive seen the light Youre absolutely right about everything  I have been acting childishly and you are so very right  even though Ive been here since 2005 and have over 150000 edits I am not an actual Wikipedia editor only a pale imitation of one  My primary purpose is to impede real progress in every way possible and to keep the United States pure and unsullied by the barnbarians I believed lived everywhere else in the scary wide world  Oh what a fool Ive been  I know now that with your will of iron and keen determination to right great wrongs you will be victorious in your glorious crusade to drag us unworthy and unwashed Americans into the clear white light of revelation enjouyed by the rest of the world  ONWARD THE PROGRAM  ALL HAIL THE GREAT METRIC CRUSADE Yr obt hble srvt,0.41168427
7,solve this problem it would be much appreciated Either do it yourself or tell me how to do it I makes no difference to me how its done just that it is done and soon,0.048099842
8, A question to WWGB   I added Berthe Meijer on 10 July 2012 page giving her description as DutchJewish It is certain that it was not my description but given by sources citing her death You deleted the latter part of it leaving only Dutch You stated in edit summary that it is a formatting issue Can you please explain the reason for your formatting in this case Thanks,0.081625134
9,Hello  to be honest software corporations arent quite in my areas of either expertise or interest but Ive implemented some of the proposed changes and left a comment at TalkSAP SE In general its probably better to call attention to such a request by adding the  template to the talk page section including the curly brackets,0.025910228
10,   UAA Holding Pen question   Had a questions about the Holding Pen as the subject line indicates and figured youd be the best person to ask youre one of the if not the most active admins at UAA after all the Holding Pen guidelines indicates please remove any users that are blocked renamed or have done nothing for over seven days emphasis mine yet this does not seem to happen all that frequently Id happily help in cleaning out those cases most of them of the wait until user edits kind where well over a week later the user still hasnt but Id first like to make sure if 1 the guideline is still correct on this and 2 if there are any issues with a nonadministrator removing them   ,0.06896287
11,Noses  I blow my nose in them,0.42349213
12,  Im working on a rewrite but Im finding this very challenging It seems there are a number of articles just like the one I submitted that have not been deleted such as the example for Right Now Technologies cited above Would you mind explaining the difference Why was mine deleted as being promotional when it is of the same nature and tone Thank you  Seth Dillon,0.02343543
13,While we use different headers preparation usually refers to a semilarge scale  gram1 kg scale Synthesis refers to small quantities perhaps less than 1 gram Production refers to industrial scale  tons perhaps ,0.014953613
14,   Oh okay gotcha Sorry   ,0.0137598375
15,It would also be pleasant if everyone could just stick to content issues for a while,0.02685301
16,My mom hits me very very very very very very very very very very very hard on the head,0.4014846
17,  Nice work – a great improvement I also noticed that this article has never really had substantial information about Māori society or social organisations theres no real explanation of what iwi and hapū are no mention of the word marae anywhere in the article and nothing on organisations such as rūnanga and hauora and soon Whānau Ora A Māori navbox is probably long overdue as well If there are no objections Ill draft these up today and start adding them tomorrow Cheers –   •  ,0.025674535
18,pls can you put a decent pic of him this one makes him look kind of stupid,0.7510937
19,I sometimes wonder why some people feel they are entitled to act any way they want I was not bothering you and yet you have started this  I dont think it is any of your concern what I dowho are you to police me  Like your so innocent You are constantly stirring up the pot and causing trouble so save me your so innocent act and quit being a hypocritewanna be revolutionary you think your so perfect and righteous and everyone is wrong except youyour a biased fanatic and you make me sick your a spoiled baby and I want you to quit interfering in what I do,0.44393396
20,   Taxobox removal   I removed the taxobox The article seems to be about a common name that refers to most or all species of two cetacean families    This was reverted here with the edit summary Revert  information in infobox takes this into account provides useful information Dolphin is a common name for some species of the two families not a single scientific taxon The article explains this fact I would not remove useful information The specious inclusion is very misleading it is best explained in the article What reliable source would state it refers to these two taxa when some of them have the common name of whale Why should the taxobox be used for an article about a non systematic name    I wouldnt  have a problem with having two families in the taxobox except that under current taxonomy this one is now incorrect  I am not concerned about the fact that some dolphins have a common name of whale since most authoritative sources would recognize those species dolphin species despite the common name since all are in Delphinidae  But the problem is that the River Dolphins have now been split into multiple families so just using Delphinidae and Platanistoidea is no longer correct  And rather than include five families in the taxobox which becomes somewhat spurious it seems better to remove the taxobox and discuss the taxonomy in the article     What if the family section is just left out Or be given a note like See article I like the infobox and it does provide useful data and a basic glance at where dolphins fit in in the animal kingdom it never fails to amaze me how many people do not seem to realise dolphins are mammals Looking at some other articles theres no consensus on the infobox usage The whale article has no infobox for example while many others such as the shark lizard or turtle articles do have them     I have a problem with original research being used in our document This would include basing a taxon on a common name there is no concordance between common names and biological nomenclature A reader comes here to acquire facts those few who do not know they are mammals can gain that information from the content proper of the article The two families or even five are not given an accepted taxon the fact that some reliable sources also name some of the species as Dolphins is incidental not authoritative Everyone likes the taxobox let us be careful with our names here most of all it is not an infobox I appreciate that the undue weight given to other names appended to the correct name may cause this misapprehension but the consensus is that a taxobox should summarise a single taxon and be included in only one article Whale is without one for reasons that are intimately linked with this articles title The other examples you have given are hopefully given in RS that state unequivocally a common name refers to a taxon Sharks superorder Selachimorpha Lizards Suborder Lacertilia are a very large and widespread group of reptiles of the order Squamata highly debatable but still a single taxon and superorder Chelonia turtles is yet another reptilian Sauropsida example that needed resolving Removing duplicated or specious spurious taxoboxes is never popular with those who had a notion to include them Im not sure why but it is certain to be the right path for clarifying explanations to our dear readers An article on the common name dolphin is justified it could be more than a dab but it is not a taxon Please undo the unfounded revert of my edit    All dolphins belong to the suborder of Odontoceti every animal mentioned in this article does so the taxobox tree is correct especially considering my last edit  so no incorrect data is given in the box I dont feel the definition of a dolphin as used in this article is based on original research but is what is quite commonly accepted as what animals are covered under the word dolphin Encarta for example in my opinion a good source for reference also lists t,0.046120718
21,Here it is paragraphs 567  httpwwwcnncom2009TECH1123hackerclimateindexhtml,0.077668175
22,No because there are no RS attesting to the validity of data correlating brain size to race  While many sources may opine that significance exists per various data sets none are reliablethat is since no editorial board of any peerreviewed science journal has yet taken such sources seriously enough to publish or engage them in published dialogue neither should Wiki,0.058490243
23,scale disclosure where multiple patients are affected,0.023199737
24,Looks out of place indeed,0.033334624
25,Moving Guests to occupied rooms  Because the hotel has infinite rooms we can move any guest occupying any room n to room n1 then fit the newcomer into room 1  No we cant Room n1 is already occupied as are all rooms by definition Any room in the hotel has occupied as descriptor as per condition of the problem  a hypothetical hotel with a countably infinite number of rooms all of which are occupied  So whatever number we call any particular room be it n1 n2 n3 or any other it does not change the rooms occupied status Therefore we cant move a guest from an occupied room to an occupied room to make room for more guests ,0.03781283
26, SAEEW   JKGDRSFJDSF MGSV XVVX VXVX BXBVBVXCVCVX CXBVXNGVSGSFGVSJHGVSBVXFCBVNSGRFNBVXGFV NBGXJNFGF GBJDFBVDF VBXC C BVCBVCVCGFDSGNFNGDNF BGUHNGDRFGNBDGFDJHNDFGHGDFNJVFGIDFJHVFGFJD JBVGFJDN,0.027206551
27,mmmmmm I think its done See  for the small version,0.021785567
28, allied photographs   whole article is covered by allied pictures there is only one central picture and its an EXECUTION lol i smell propaganda,0.37795907
29,Imagine images  I checked Commons and I really like these images Could someone please add them to the article   FileThe Blue Marblejpg  FileBachalpseeflowersjpg  FileSunset in El Porto California 8074300769jpg  FilePolarlicht 2jpg  FileRed eyed tree frog edit2jpg  FileSchoolgirls in BamozaiJPG  Thanks zillions ,0.016964182
